Model,Raiting,RD,player,nickname
o3-mini,1995.4316152029976,253.9985307446835,o,J20
o1-mini,1847.1420471438,253.7296410668681,o,J19
google/gemini-2.0-flash-thinking-exp:free,1785.8853602062409,252.93337751145663,x,J12
google/gemini-2.0-flash-thinking-exp-1219:free,1746.8694494355257,251.8137192199246,o,J13
google/gemini-2.0-pro-exp-02-05:free,1738.511232879548,243.192012085271,o,J11
deepseek/deepseek-r1:free,1729.729562602905,248.7509785933991,x,J9
deepseek/deepseek-r1-distill-llama-70b:free,1706.3959579519228,272.6227474794357,x,J4
google/learnlm-1.5-pro-experimental:free,1632.6306332358874,240.9113295061596,x,J16
google/gemini-2.0-flash-exp:free,1623.358011908946,246.8095437435114,x,J14
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1554.7442862334126,246.3754944389582,o,J2
google/gemini-exp-1206:free,1545.5912615248485,251.90028156411543,x,J15
google/gemini-2.0-flash-lite-preview-02-05:free,1535.1858415838235,239.2751162892297,o,J10
gpt-4o,1504.4500281367557,272.1588652921756,o,J18
meta-llama/llama-3.3-70b-instruct:free,1475.447018512113,263.49038319955696,o,J5
gpt-3.5-turbo-0125,1463.7660787025045,265.78905947744204,o,J17
sophosympatheia/rogue-rose-103b-v0.2:free,1365.2206567244093,235.4768964176768,x,J8
nvidia/llama-3.1-nemotron-70b-instruct:free,1353.4921065047176,264.4854903895222,x,J6
qwen/qwen2.5-vl-72b-instruct:free,1317.1779149467632,256.96273951390754,o,J7
cognitivecomputations/dolphin3.0-mistral-24b:free,1101.961752773267,265.46141203222857,x,J1
mistralai/mistral-small-24b-instruct-2501:free,1065.2999145995843,264.6101859392712,x,J3
